time,utterance
20230123-152819," David, I want to teach you something."
20230123-152931," David, pick up the battle please."
20230123-152946," David, pick up the ball please."
20230123-153048," David, go to the bedroom."
20230123-153705," David, I want to show you something."
20230123-153718," David, I want to show you something."
20230123-153738," David, pick up the bottle."
20230123-153835," David, go to the bedroom."
20230123-164520," David, I want to show you how I eat breakfast."
20230123-164525," David, I want to show you how I eat breakfast."
20230123-164559," David, can you talk at the back at least?"
20230123-164604," David, can you pick up the bottle please?"
20230123-164712," David, go to the bathroom."
20230123-164850," David, go to the bedroom."
20230123-164904, David appears to be one of the
20230123-165706," David, I want to show you my morning routine."
20230123-165744," David, pick up the battery."
20230123-165802," David, pick up the bottle."
20230123-165859," David, go to the bedroom."
20230123-165954," David, give me the bottle."
20230123-170026," David, I'm done. With fish shit."
20230123-170246, David go to the kitchen
20230123-170930," David, go to the bedroom."
20230123-171504, David go to the kitchen.
